Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
black-halwa-authentic-kerala-halwa,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/7394818/pexels-photo-7394818.jpeg,2,Black Halwa close-up,
black-halwa-authentic-kerala-halwa,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/5985991/pexels-photo-5985991.jpeg,3,Black Halwa served on plate,
